"","t","i","a","s","open","completed","carried"
"688",27,22,1,"C_999",293,200,161
"689",28,22,1,"C_999",200,194,97
"690",29,22,1,"C_999",303,205,179
"691",0,23,NA,"C_999",931,868,NA
"692",1,23,1,"C_999",574,734,516
"693",2,23,1,"C_999",465,591,410
"694",3,23,1,"C_999",581,444,519
"695",4,23,1,"C_999",637,498,473
"696",5,23,1,"C_999",475,399,394
"697",6,23,1,"C_999",640,377,560
"698",7,23,1,"C_999",632,593,563
"699",8,23,1,"C_999",853,463,752
"700",9,23,1,"C_999",866,656,768
"701",10,23,0.644289450741064,"C_999",739,672,1147
"702",11,23,0.6996336996337,"C_999",382,705,546
"703",12,23,1,"C_999",358,461,232
"704",13,23,1,"C_999",235,433,33
"705",14,23,1,"C_999",184,263,148
"706",15,23,1,"C_999",186,269,71
"707",16,23,1,"C_999",200,247,73
"708",17,23,1,"C_999",98,203,10
"709",18,23,1,"C_999",183,202,81
"710",19,23,1,"C_999",157,233,52
"711",20,23,1,"C_999",222,205,98
"712",21,23,1,"C_999",195,205,111
"713",22,23,1,"C_999",197,226,87
"714",23,23,1,"C_999",186,198,113
"715",24,23,1,"C_999",176,178,81
"716",25,23,1,"C_999",178,149,92
"717",26,23,1,"C_999",158,139,69
"718",27,23,1,"C_999",205,157,80
"719",28,23,1,"C_999",214,118,175
"720",29,23,1,"C_999",176,147,53
"721",0,24,NA,"C_999",677,589,NA
"722",1,24,1,"C_999",459,541,390
"723",2,24,1,"C_999",278,401,173
"724",3,24,1,"C_999",251,290,175
"725",4,24,1,"C_999",354,294,287
"726",5,24,1,"C_999",423,335,302
"727",6,24,1,"C_999",292,317,158
"728",7,24,1,"C_999",406,288,352
"729",8,24,1,"C_999",470,321,311
"730",9,24,1,"C_999",572,430,423
"731",10,24,0.687872763419483,"C_999",346,363,503
"732",11,24,0.724770642201835,"C_999",237,412,327
"733",12,24,1,"C_999",216,261,121
"734",13,24,1,"C_999",172,302,56
"735",14,24,1,"C_999",98,244,-9
"736",15,24,1,"C_999",106,194,-10
"737",16,24,1,"C_999",110,167,19
"738",17,24,1,"C_999",104,186,14
"739",18,24,1,"C_999",66,134,-36
"740",19,24,1,"C_999",106,133,50
"741",20,24,1,"C_999",103,131,26
"742",21,24,1,"C_999",144,147,75
"743",22,24,1,"C_999",108,142,53
"744",23,24,1,"C_999",126,169,28
"745",24,24,1,"C_999",139,201,-15
"746",25,24,1,"C_999",133,120,56
"747",26,24,1,"C_999",143,100,78
"748",27,24,1,"C_999",142,94,64
"749",28,24,1,"C_999",158,119,86
"750",29,24,1,"C_999",175,123,91
"751",0,25,NA,"C_999",388,481,NA
"752",1,25,1,"C_999",301,390,287
"753",2,25,1,"C_999",174,341,118
"754",3,25,1,"C_999",141,208,70
"755",4,25,1,"C_999",132,198,53
"756",5,25,1,"C_999",217,187,167
"757",6,25,1,"C_999",259,283,140
"758",7,25,1,"C_999",194,260,32
"759",8,25,1,"C_999",304,178,228
"760",9,25,1,"C_999",336,299,171
"761",10,25,0.604719764011799,"C_999",205,233,339
"762",11,25,1,"C_999",135,253,93
"763",12,25,1,"C_999",136,225,12
"764",13,25,1,"C_999",95,250,-34
"765",14,25,1,"C_999",75,133,39
"766",15,25,1,"C_999",45,150,-52
"767",16,25,1,"C_999",73,99,7
"768",17,25,1,"C_999",70,109,1
"769",18,25,1,"C_999",72,89,15
"770",19,25,1,"C_999",39,102,-36
"771",20,25,1,"C_999",73,65,41
"772",21,25,1,"C_999",72,137,-34
"773",22,25,1,"C_999",91,119,25
"774",23,25,1,"C_999",65,120,-12
"775",24,25,1,"C_999",275,136,-10
"776",25,25,1,"C_999",119,93,46
"777",26,25,1,"C_999",117,98,35
"778",27,25,1,"C_999",129,88,55
"779",28,25,1,"C_999",105,81,61
"780",29,25,1,"C_999",144,81,77
"781",0,26,NA,"C_999",641,1689,NA
"782",1,26,1,"C_999",599,1838,-809
"783",2,26,1,"C_999",398,1687,-787
"784",3,26,1,"C_999",343,1722,-1150
"785",4,26,1,"C_999",325,1690,-1206
"786",5,26,1,"C_999",315,1356,-899
"787",6,26,1,"C_999",285,1349,-817
"788",7,26,1,"C_999",347,1211,-667
"789",8,26,1,"C_999",405,1129,-588
"790",9,26,1,"C_999",521,1919,-1210
"791",10,26,1,"C_999",361,1097,-240
"792",11,26,1,"C_999",340,1173,-607
"793",12,26,1,"C_999",399,1025,-550
"794",13,26,1,"C_999",366,1493,-958
"795",14,26,1,"C_999",224,1064,-603
"796",15,26,1,"C_999",220,1064,-765
"797",16,26,1,"C_999",237,918,-653
"798",17,26,1,"C_999",237,984,-674
"799",18,26,1,"C_999",276,1078,-771
"800",19,26,1,"C_999",281,915,-567
"801",20,26,1,"C_999",280,795,-475
"802",21,26,1,"C_999",275,966,-613
"803",22,26,1,"C_999",311,1102,-755
"804",23,26,1,"C_999",301,1063,-661
"805",24,26,1,"C_999",333,1180,-814
"806",25,26,1,"C_999",347,837,-229
"807",26,26,1,"C_999",397,938,-472
"808",27,26,1,"C_999",521,1038,-524
"809",28,26,1,"C_999",488,787,-137
"810",29,26,1,"C_999",525,944,-351
"811",0,NA,NA,"C_999",0,0,NA
"812",1,NA,0,"C_999",0,0,1749897
"813",2,NA,0,"C_999",0,0,1839788
"814",3,NA,0,"C_999",0,0,1757842
"815",4,NA,0,"C_999",0,0,1735115
"816",5,NA,0,"C_999",0,0,1715394
"817",6,NA,0,"C_999",0,0,1784595
"818",7,NA,0,"C_999",0,0,1798012
"819",8,NA,0,"C_999",0,0,1453059
"820",9,NA,0,"C_999",0,0,1814019
"821",10,NA,0,"C_999",0,0,1751196
"822",11,NA,0,"C_999",0,0,1680054
"823",12,NA,0,"C_999",0,0,1763358
"824",13,NA,0,"C_999",0,0,1790643
"825",14,NA,0,"C_999",0,0,1692573
"826",15,NA,0,"C_999",0,0,1861645
"827",16,NA,0,"C_999",0,0,1651917
"828",17,NA,0,"C_999",0,0,1712904
"829",18,NA,0,"C_999",0,0,1905187
"830",19,NA,0,"C_999",0,0,1749354
"831",20,NA,0,"C_999",0,0,1554327
"832",21,NA,0,"C_999",0,0,1828801
"833",22,NA,0,"C_999",0,0,1693948
"834",23,NA,0,"C_999",0,0,1804985
"835",24,NA,0,"C_999",0,0,1718729
"836",25,NA,0,"C_999",0,0,1758715
"837",26,NA,0,"C_999",0,0,1835077
"838",27,NA,0,"C_999",0,0,1922022
"839",28,NA,0,"C_999",0,0,1608188
"840",29,NA,0,"C_999",0,0,1825086
