"","t","i","a","s","open","completed","carried","c_a"
"335",4,11,0.956136064299643,"C_999",205444,27909,214869,0.119599919435362
"336",5,11,0.931396301948655,"C_999",205670,32480,220819,0.136384631534747
"337",6,11,0.905668709686053,"C_999",135354,37434,149452,0.216646989374262
"338",7,11,0.931921361275726,"C_999",188236,32092,201987,0.145655568062162
"339",8,11,0.968390897990073,"C_999",208573,28744,215381,0.121120695104017
"340",9,11,0.947724376196207,"C_999",213419,38846,225191,0.153988860920064
"341",10,11,0.943106325367589,"C_999",179724,33518,190566,0.15718291893717
"342",11,11,0.950040437495186,"C_999",197350,32142,207728,0.140057169748837
"343",12,11,0.938085978347446,"C_999",210817,35715,224731,0.144869631528564
"344",13,11,0.959629445884355,"C_999",206970,36754,215677,0.150801726543139
"345",14,11,0.951071627878916,"C_999",189171,34112,198903,0.15277472982717
"346",15,11,0.93508764566808,"C_999",200523,35359,214443,0.149901221797339
"347",16,11,0.970814384171785,"C_999",207065,32352,213290,0.135128249038289
"348",17,11,0.937543305785882,"C_999",204316,36441,217927,0.151360085065024
"349",18,11,0.920767409221029,"C_999",148924,38063,161739,0.203559605747993
"350",19,11,0.933007062262328,"C_999",194072,34088,208007,0.149403927068724
"351",20,11,0.956336917698913,"C_999",201351,33775,210544,0.143646385342327
"352",21,11,0.95523503076291,"C_999",179012,41558,187401,0.188411842045609
"353",22,11,0.913605555831501,"C_999",202328,36801,221461,0.153896014285177
"354",23,11,0.964553366052216,"C_999",181990,41212,188678,0.184639922581339
"355",24,11,0.929939202451051,"C_999",194255,35034,208890,0.15279407210987
"356",25,11,0.948131648104117,"C_999",189413,36474,199775,0.161470115588768
"357",26,11,0.944857157383921,"C_999",167252,36465,177013,0.178998316291718
"358",27,11,0.94710687542546,"C_999",180869,37455,190970,0.171556952052912
"359",28,11,0.952336520865015,"C_999",184739,34163,193985,0.156065271217257
"360",29,11,0.946728550782444,"C_999",182765,40609,193049,0.181798239723513
"361",0,12,NA,"C_999",150960,20461,NA,0.119361105115476
"362",1,12,0.946222975935027,"C_999",164041,25429,173364,0.134211220773737
"363",2,12,0.947505570911925,"C_999",155624,27964,164246,0.152319323703074
"364",3,12,0.95403853549217,"C_999",143890,24721,150822,0.146615582613234
"365",4,12,0.960893170092038,"C_999",156812,23448,163194,0.13007877510263
"366",5,12,0.94068596243918,"C_999",165493,29516,175928,0.151357116851017
"367",6,12,0.927188612099644,"C_999",156324,37070,168600,0.191681231061977
"368",7,12,0.978587857149731,"C_999",101688,31441,103913,0.23616942965094
"369",8,12,0.951062659877119,"C_999",159128,20920,167316,0.116191237892118
