"","i","t","s","date","open","completed","new"
"363",12,2,"C_999",2023-06-01,155624,27964,0
"364",12,3,"C_999",2023-07-01,143890,24721,0
"365",12,4,"C_999",2023-08-01,156812,23448,0
"366",12,5,"C_999",2023-09-01,165493,29516,0
"367",12,6,"C_999",2023-10-01,156324,37070,0
"368",12,7,"C_999",2023-11-01,101688,31441,0
"369",12,8,"C_999",2023-12-01,159128,20920,0
"370",12,9,"C_999",2024-01-01,165298,35367,0
"371",12,10,"C_999",2024-02-01,165825,33602,0
"372",12,11,"C_999",2024-03-01,151738,28577,0
"373",12,12,"C_999",2024-04-01,162358,31974,0
"374",12,13,"C_999",2024-05-01,165781,34913,0
"375",12,14,"C_999",2024-06-01,162567,34449,0
"376",12,15,"C_999",2024-07-01,146445,35344,0
"377",12,16,"C_999",2024-08-01,163863,30419,0
"378",12,17,"C_999",2024-09-01,159195,35328,0
"379",12,18,"C_999",2024-10-01,155850,39584,0
"380",12,19,"C_999",2024-11-01,109719,35421,0
"381",12,20,"C_999",2024-12-01,154464,26217,0
"382",12,21,"C_999",2025-01-01,152982,40572,0
"383",12,22,"C_999",2025-02-01,130504,37917,0
"384",12,23,"C_999",2025-03-01,145771,37325,0
"385",12,24,"C_999",2025-04-01,141783,34944,0
"386",12,25,"C_999",2025-05-01,148149,36530,0
"387",12,26,"C_999",2025-06-01,140407,37745,0
"388",12,27,"C_999",2025-07-01,123118,37529,0
"389",12,28,"C_999",2025-08-01,140220,31704,0
"390",12,29,"C_999",2025-09-01,134313,41799,0
"391",13,0,"C_999",2023-04-01,104656,16329,0
"392",13,1,"C_999",2023-05-01,119223,22841,0
"393",13,2,"C_999",2023-06-01,129353,23655,0
"394",13,3,"C_999",2023-07-01,122165,23546,0
"395",13,4,"C_999",2023-08-01,116225,22060,0
"396",13,5,"C_999",2023-09-01,123129,23783,0
"397",13,6,"C_999",2023-10-01,121997,31987,0
"398",13,7,"C_999",2023-11-01,114445,31493,0
"399",13,8,"C_999",2023-12-01,80577,21377,0
"400",13,9,"C_999",2024-01-01,120536,26943,0
"401",13,10,"C_999",2024-02-01,122681,29341,0
"402",13,11,"C_999",2024-03-01,121471,28782,0
"403",13,12,"C_999",2024-04-01,112594,26638,0
"404",13,13,"C_999",2024-05-01,122383,30480,0
"405",13,14,"C_999",2024-06-01,121212,32303,0
"406",13,15,"C_999",2024-07-01,119454,35367,0
"407",13,16,"C_999",2024-08-01,113062,29022,0
"408",13,17,"C_999",2024-09-01,117250,32250,0
"409",13,18,"C_999",2024-10-01,112224,37046,0
"410",13,19,"C_999",2024-11-01,107957,34522,0
"411",13,20,"C_999",2024-12-01,79438,26145,0
"412",13,21,"C_999",2025-01-01,109691,31637,0
"413",13,22,"C_999",2025-02-01,104553,33586,0
"414",13,23,"C_999",2025-03-01,87884,34404,0
"415",13,24,"C_999",2025-04-01,99159,27847,0
"416",13,25,"C_999",2025-05-01,102092,31868,0
"417",13,26,"C_999",2025-06-01,100158,34107,0
"418",13,27,"C_999",2025-07-01,94053,34993,0
"419",13,28,"C_999",2025-08-01,88615,28135,0
"420",13,29,"C_999",2025-09-01,93100,33769,0
"421",14,0,"C_999",2023-04-01,96725,15118,0
"422",14,1,"C_999",2023-05-01,85622,17513,0
"423",14,2,"C_999",2023-06-01,94615,20648,0
"424",14,3,"C_999",2023-07-01,101511,18827,0
"425",14,4,"C_999",2023-08-01,98711,19457,0
"426",14,5,"C_999",2023-09-01,90113,20933,0
"427",14,6,"C_999",2023-10-01,91476,24433,0
"428",14,7,"C_999",2023-11-01,88781,27193,0
"429",14,8,"C_999",2023-12-01,87726,19501,0
"430",14,9,"C_999",2024-01-01,59453,21339,0
"431",14,10,"C_999",2024-02-01,85878,21951,0
"432",14,11,"C_999",2024-03-01,91049,24276,0
"433",14,12,"C_999",2024-04-01,84041,26279,0
"434",14,13,"C_999",2024-05-01,85401,24848,0
"435",14,14,"C_999",2024-06-01,85912,27120,0
"436",14,15,"C_999",2024-07-01,82271,31568,0
"437",14,16,"C_999",2024-08-01,88354,26818,0
"438",14,17,"C_999",2024-09-01,76340,28879,0
"439",14,18,"C_999",2024-10-01,77530,31815,0
"440",14,19,"C_999",2024-11-01,74137,31154,0
"441",14,20,"C_999",2024-12-01,74673,25207,0
"442",14,21,"C_999",2025-01-01,53292,26311,0
"443",14,22,"C_999",2025-02-01,68920,26195,0
"444",14,23,"C_999",2025-03-01,64968,30025,0
"445",14,24,"C_999",2025-04-01,59239,23463,0
"446",14,25,"C_999",2025-05-01,68008,24558,0
"447",14,26,"C_999",2025-06-01,65309,27602,0
"448",14,27,"C_999",2025-07-01,65420,28164,0
"449",14,28,"C_999",2025-08-01,64550,23802,0
"450",14,29,"C_999",2025-09-01,56305,26270,0
"451",15,0,"C_999",2023-04-01,74937,13096,0
"452",15,1,"C_999",2023-05-01,75559,17403,0
"453",15,2,"C_999",2023-06-01,68710,16070,0
"454",15,3,"C_999",2023-07-01,72970,17022,0
"455",15,4,"C_999",2023-08-01,79420,17063,0
"456",15,5,"C_999",2023-09-01,74317,19023,0
"457",15,6,"C_999",2023-10-01,65170,20843,0
"458",15,7,"C_999",2023-11-01,64479,20705,0
"459",15,8,"C_999",2023-12-01,68467,15695,0
"460",15,9,"C_999",2024-01-01,59724,22633,0
"461",15,10,"C_999",2024-02-01,39340,17884,0
"462",15,11,"C_999",2024-03-01,60731,18118,0
"463",15,12,"C_999",2024-04-01,63660,22839,0
"464",15,13,"C_999",2024-05-01,58034,24942,0
"465",15,14,"C_999",2024-06-01,56610,22508,0
"466",15,15,"C_999",2024-07-01,54244,25864,0
"467",15,16,"C_999",2024-08-01,53881,25545,0
"468",15,17,"C_999",2024-09-01,51576,28025,0
"469",15,18,"C_999",2024-10-01,44151,29823,0
"470",15,19,"C_999",2024-11-01,42668,28981,0
"471",15,20,"C_999",2024-12-01,45715,24284,0
"472",15,21,"C_999",2025-01-01,41696,29389,0
"473",15,22,"C_999",2025-02-01,28115,21845,0
"474",15,23,"C_999",2025-03-01,36533,23654,0
"475",15,24,"C_999",2025-04-01,38648,22468,0
"476",15,25,"C_999",2025-05-01,35965,22540,0
"477",15,26,"C_999",2025-06-01,37434,23798,0
"478",15,27,"C_999",2025-07-01,37348,24553,0
"479",15,28,"C_999",2025-08-01,40179,21810,0
"480",15,29,"C_999",2025-09-01,35601,24827,0
"481",16,0,"C_999",2023-04-01,52969,10566,0
"482",16,1,"C_999",2023-05-01,56606,15796,0
"483",16,2,"C_999",2023-06-01,54776,16425,0
"484",16,3,"C_999",2023-07-01,53454,13950,0
"485",16,4,"C_999",2023-08-01,54961,15434,0
"486",16,5,"C_999",2023-09-01,58060,16507,0
"487",16,6,"C_999",2023-10-01,51709,18220,0
"488",16,7,"C_999",2023-11-01,44464,17150,0
"489",16,8,"C_999",2023-12-01,48463,12602,0
"490",16,9,"C_999",2024-01-01,45700,18923,0
"491",16,10,"C_999",2024-02-01,35650,18548,0
"492",16,11,"C_999",2024-03-01,25036,14431,0
"493",16,12,"C_999",2024-04-01,37562,17138,0
"494",16,13,"C_999",2024-05-01,39830,19685,0
"495",16,14,"C_999",2024-06-01,34331,18724,0
"496",16,15,"C_999",2024-07-01,32583,19140,0
"497",16,16,"C_999",2024-08-01,28926,19112,0
"498",16,17,"C_999",2024-09-01,21422,24147,0
"499",16,18,"C_999",2024-10-01,20385,23698,0
"500",16,19,"C_999",2024-11-01,16690,20121,0
"501",16,20,"C_999",2024-12-01,17972,16521,0
"502",16,21,"C_999",2025-01-01,17490,21581,0
"503",16,22,"C_999",2025-02-01,14507,18554,0
"504",16,23,"C_999",2025-03-01,9666,14329,0
"505",16,24,"C_999",2025-04-01,14239,14313,0
"506",16,25,"C_999",2025-05-01,16114,17460,0
"507",16,26,"C_999",2025-06-01,12564,17285,0
"508",16,27,"C_999",2025-07-01,14145,16922,0
"509",16,28,"C_999",2025-08-01,16288,14587,0
"510",16,29,"C_999",2025-09-01,14838,17903,0
"511",17,0,"C_999",2023-04-01,25904,8269,0
"512",17,1,"C_999",2023-05-01,36426,12648,0
"513",17,2,"C_999",2023-06-01,38247,15813,0
"514",17,3,"C_999",2023-07-01,35628,14236,0
