"","t","i","a","s","open","completed","carried"
"134",25,3,0.973725593201481,"C_999",848930,124258,871837
"135",26,3,0.974828681903449,"C_999",763905,126142,783630
"136",27,3,0.967704827965112,"C_999",789082,104476,815416
"137",28,3,0.968020985256406,"C_999",840279,108885,868038
"138",29,3,0.961397019819108,"C_999",860882,117249,895449
"139",30,3,0.962081030942038,"C_999",824058,123896,856537
"140",31,3,0.963795551348793,"C_999",753505,122915,781810
"141",32,3,0.967800118239002,"C_999",836519,94024,864351
"142",33,3,0.965455179843353,"C_999",821808,127884,851213
"143",34,3,0.949306199700504,"C_999",809537,120317,852767
"144",35,3,0.982192978204068,"C_999",628135,96742,639523
"145",0,4,NA,"C_999",329586,65209,NA
"146",1,4,0.903982501975692,"C_999",403790,62308,446679
"147",2,4,0.915685275699102,"C_999",452995,77752,494706
"148",3,4,0.936088261764354,"C_999",446208,81395,476673
"149",4,4,0.910151455550134,"C_999",539100,74894,592319
"150",5,4,0.916299642354406,"C_999",535721,97712,584657
"151",6,4,0.91862455090499,"C_999",567371,97262,617631
"152",7,4,0.908853488831163,"C_999",520265,103409,572441
"153",8,4,0.950500785293133,"C_999",516831,74293,543746
"154",9,4,0.907027951438917,"C_999",579170,91507,638536
"155",10,4,0.922010873045349,"C_999",575947,93694,624664
"156",11,4,0.949703341924091,"C_999",582964,105801,613838
"157",12,4,0.947210611599558,"C_999",433741,70571,457914
"158",13,4,0.920132528822325,"C_999",614862,92703,668232
"159",14,4,0.952343882213572,"C_999",647151,95836,679535
"160",15,4,0.895282425425343,"C_999",609143,92453,680392
"161",16,4,1,"C_999",659035,85810,649120
"162",17,4,0.951647711934318,"C_999",631010,100045,663071
"163",18,4,0.907018896602605,"C_999",654035,99635,721082
"164",19,4,0.945856512787623,"C_999",610557,108051,645507
"165",20,4,0.981181001035287,"C_999",608448,77230,620118
"166",21,4,1,"C_999",686235,98593,678248
"167",22,4,0.938945295537959,"C_999",678972,95663,723122
"168",23,4,0.937115163186761,"C_999",646214,101970,689578
"169",24,4,0.965101686851697,"C_999",515262,62914,533894
"170",25,4,0.941832389599183,"C_999",702914,90882,746326
"171",26,4,0.954906991489715,"C_999",713856,101364,747566
"172",27,4,0.955702023526335,"C_999",643219,90872,673033
"173",28,4,0.97281041676998,"C_999",686595,83297,705785
"174",29,4,0.943092047711328,"C_999",706143,91526,748753
"175",30,4,0.941933607577779,"C_999",715781,100976,759906
"176",31,4,0.947851782533801,"C_999",680659,105951,718107
"177",32,4,0.963116570958957,"C_999",653934,74528,678977
"178",33,4,0.953257265046672,"C_999",701686,100426,736093
"179",34,4,0.939381110581159,"C_999",683427,94279,727529
"180",35,4,0.947722073828656,"C_999",681941,89979,719558
"181",0,5,NA,"C_999",350881,56248,NA
"182",1,5,0.871624447894733,"C_999",245887,47484,282102
"183",2,5,0.828915669456126,"C_999",293495,49719,354071
"184",3,5,0.870167345634635,"C_999",348596,52387,400608
"185",4,5,0.870833870409265,"C_999",344555,50547,395661
"186",5,5,0.866205561578239,"C_999",409898,65889,473211
"187",6,5,0.883302214209614,"C_999",412049,69234,466487
"188",7,5,0.859028525103684,"C_999",420674,77662,489709
"189",8,5,0.900845535072604,"C_999",416151,58309,461956
"190",9,5,0.901919206124584,"C_999",410449,61747,455084
"191",10,5,0.901969489536476,"C_999",461177,67870,511300
"192",11,5,0.921261024958203,"C_999",460110,76512,499435
"193",12,5,0.894412382455372,"C_999",465869,62098,520866
"194",13,5,0.929724906824143,"C_999",346991,60522,373219
"195",14,5,0.914518290256272,"C_999",500953,67084,547778
"196",15,5,0.909733714979617,"C_999",524416,70701,576450
"197",16,5,0.89083874868893,"C_999",477331,73321,535822
"198",17,5,0.921939794325059,"C_999",542025,71117,587918
"199",18,5,0.891837954693632,"C_999",493808,77313,553697
"200",19,5,0.900628078451148,"C_999",514355,82928,571107
"201",20,5,0.946274221383996,"C_999",519796,61249,549308
"202",21,5,0.903864515428482,"C_999",482792,74306,534142
"203",22,5,0.909632636598424,"C_999",559304,71367,614868
"204",23,5,0.936422322050111,"C_999",560946,79941,599031
"205",24,5,0.923051499360389,"C_999",539015,62265,583949
"206",25,5,0.950852999027533,"C_999",432176,60748,454514
