"","t","s","date","activity_type","ideal_value","measure_type","baseline_value"
"149",19,"C_999",2025-10-01,"proc",950466.787044586,"activity",943171.769690919
"150",19,"C_999",2025-10-01,"non_proc",4014102.48453852,"activity",3983293.46766045
"151",19,"C_999",2025-10-01,"dc",228434.63500692,"activity",226681.354777386
"152",19,"C_999",2025-10-01,"ord",51115.4925568471,"activity",50723.1712150326
"153",20,"C_999",2025-11-01,"first",1533578.41989924,"activity",1521190.91536216
"154",20,"C_999",2025-11-01,"fups",3443234.81881088,"activity",3415422.03376722
"155",20,"C_999",2025-11-01,"ncl",618947.896564483,"activity",613948.334900455
"156",20,"C_999",2025-11-01,"cl",3405054.44759459,"activity",3377550.06511811
"157",20,"C_999",2025-11-01,"proc",952810.894551053,"activity",945114.54911082
"158",20,"C_999",2025-11-01,"non_proc",4024002.34415907,"activity",3991498.40001856
"159",20,"C_999",2025-11-01,"dc",228998.016442185,"activity",227148.281253653
"160",20,"C_999",2025-11-01,"ord",51241.5571510365,"activity",50827.6526428228
"161",21,"C_999",2025-12-01,"first",1537360.6379997,"activity",1524324.31958298
"162",21,"C_999",2025-12-01,"fups",3451726.76476346,"activity",3422457.24394919
"163",21,"C_999",2025-12-01,"ncl",620474.389052411,"activity",615212.967948493
"164",21,"C_999",2025-12-01,"cl",3413452.23045174,"activity",3384507.26524545
"165",21,"C_999",2025-12-01,"proc",955160.783259006,"activity",947061.330338235
"166",21,"C_999",2025-12-01,"non_proc",4033926.61950415,"activity",3999720.23319394
"167",21,"C_999",2025-12-01,"dc",229562.787328054,"activity",227616.169522012
"168",21,"C_999",2025-12-01,"ord",51367.9326545238,"activity",50932.3492852474
"169",22,"C_999",2026-01-01,"first",1541152.18407033,"activity",1527464.17810346
"170",22,"C_999",2026-01-01,"fups",3460239.65414564,"activity",3429506.94551226
"171",22,"C_999",2026-01-01,"ncl",622004.64628262,"activity",616480.20593355
"172",22,"C_999",2026-01-01,"cl",3421870.7245069,"activity",3391478.79606594
"173",22,"C_999",2026-01-01,"proc",957516.467426447,"activity",949012.121616231
"174",22,"C_999",2026-01-01,"non_proc",4043875.37078952,"activity",4007959.0019995
"175",22,"C_999",2026-01-01,"dc",230128.951091287,"activity",228085.021563596
"176",22,"C_999",2026-01-01,"ord",51494.6198340954,"activity",51037.2615856135
"177",23,"C_999",2026-02-01,"first",1544953.08111642,"activity",1530610.5042184
"178",23,"C_999",2026-02-01,"fups",3468773.53860959,"activity",3436571.16830631
"179",23,"C_999",2026-02-01,"ncl",623538.677539979,"activity",617750.054221373
"180",23,"C_999",2026-02-01,"cl",3430309.98083948,"activity",3398464.68709848
"181",23,"C_999",2026-02-01,"proc",959877.961346544,"activity",950966.931204856
"182",23,"C_999",2026-02-01,"non_proc",4053848.65837946,"activity",4016214.74131986
"183",23,"C_999",2026-02-01,"dc",230696.511167095,"activity",228554.839363621
"184",23,"C_999",2026-02-01,"ord",51621.6194584285,"activity",51142.389988141
"185",24,"C_999",2026-03-01,"first",1548763.3522,"activity",1533763.31125
"186",24,"C_999",2026-03-01,"fups",3477328.46993483,"activity",3443649.94224268
"187",24,"C_999",2026-03-01,"ncl",625076.492132258,"activity",619022.518188755
"188",24,"C_999",2026-03-01,"cl",3438770.05065486,"activity",3405464.96792275
"189",24,"C_999",2026-03-01,"proc",962245.279347714,"activity",952925.767381173
"190",24,"C_999",2026-03-01,"non_proc",4063846.54278712,"activity",4024487.4861115
"191",24,"C_999",2026-03-01,"dc",231265.470999162,"activity",229025.62491139
"192",24,"C_999",2026-03-01,"ord",51748.9322980962,"activity",51247.734937965
"193",25,"C_999",2026-04-01,"first",1552583.02043999,"activity",1536922.61254786
"194",25,"C_999",2026-04-01,"fups",3485904.5000286,"activity",3450743.29729436
"195",25,"C_999",2026-04-01,"ncl",626618.099390181,"activity",620297.60322357
"196",25,"C_999",2026-04-01,"cl",3447250.98528469,"activity",3412479.66817936
"197",25,"C_999",2026-04-01,"proc",964618.435793711,"activity",954888.638439293
"198",25,"C_999",2026-04-01,"non_proc",4073869.08467487,"activity",4032777.27140293
"199",25,"C_999",2026-04-01,"dc",231835.834039665,"activity",229497.380200306
"200",25,"C_999",2026-04-01,"ord",51876.559125572,"activity",51353.2968811375
"201",26,"C_999",2026-05-01,"first",1556412.10901229,"activity",1540088.42148913
"202",26,"C_999",2026-05-01,"fups",3494501.68092616,"activity",3457851.26349604
"203",26,"C_999",2026-05-01,"ncl",628163.508667486,"activity",621575.314724786
"204",26,"C_999",2026-05-01,"cl",3455752.83618724,"activity",3419508.81756997
"205",26,"C_999",2026-05-01,"proc",966997.445083716,"activity",956855.552690411
"206",26,"C_999",2026-05-01,"non_proc",4083916.34485473,"activity",4041084.13229476
"207",26,"C_999",2026-05-01,"dc",232407.603749294,"activity",229970.107227876
"208",26,"C_999",2026-05-01,"ord",52004.5007152345,"activity",51459.0762646293
"209",27,"C_999",2026-06-01,"first",1560250.64114999,"activity",1543260.75147848
"210",27,"C_999",2026-06-01,"fups",3503120.06479109,"activity",3464973.87094431
"211",27,"C_999",2026-06-01,"ncl",629712.729340976,"activity",622855.658102495
"212",27,"C_999",2026-06-01,"cl",3464275.65494769,"activity",3426552.44585745
"213",27,"C_999",2026-06-01,"proc",969382.32165242,"activity",958826.518462843
"214",27,"C_999",2026-06-01,"non_proc",4093988.38428866,"activity",4049408.10395995
"215",27,"C_999",2026-06-01,"dc",232980.783597274,"activity",230443.807995724
"216",27,"C_999",2026-06-01,"ord",52132.7578433722,"activity",51565.0735363318
"217",28,"C_999",2026-07-01,"first",1564098.64014348,"activity",1546439.6159482
"218",28,"C_999",2026-07-01,"fups",3511759.70391564,"activity",3472111.14979774
"219",28,"C_999",2026-07-01,"ncl",631265.770810585,"activity",624138.638777931
"220",28,"C_999",2026-07-01,"cl",3472819.49327841,"activity",3433610.58286595
"221",28,"C_999",2026-07-01,"proc",971773.079970117,"activity",960801.54410206
"222",28,"C_999",2026-07-01,"non_proc",4104085.264089,"activity",4057749.22164388
"223",28,"C_999",2026-07-01,"dc",233555.377061388,"activity",230918.484509594
"224",28,"C_999",2026-07-01,"ord",52261.3312881882,"activity",51671.289145059
"225",29,"C_999",2026-08-01,"first",1567956.12934057,"activity",1549625.02835825
"226",29,"C_999",2026-08-01,"fups",3520420.650721,"activity",3479263.13027702
"227",29,"C_999",2026-08-01,"ncl",632822.642499425,"activity",625424.262183496
"228",29,"C_999",2026-08-01,"cl",3481384.40301935,"activity",3440683.25848105
"229",29,"C_999",2026-08-01,"proc",974169.734542786,"activity",962780.637970722
"230",29,"C_999",2026-08-01,"non_proc",4114207.04551878,"activity",4066107.52066455
"231",29,"C_999",2026-08-01,"dc",234131.387627993,"activity",231394.138779364
"232",29,"C_999",2026-08-01,"ord",52390.2218298046,"activity",51777.7235405495
"233",30,"C_999",2026-09-01,"first",1571823.13214666,"activity",1552817.00219632
"234",30,"C_999",2026-09-01,"fups",3529102.95775766,"activity",3486429.84266509
"235",30,"C_999",2026-09-01,"ncl",634383.353853851,"activity",626712.533762782
"236",30,"C_999",2026-09-01,"cl",3489970.43613829,"activity",3447770.50264991
"237",30,"C_999",2026-09-01,"proc",976572.299912182,"activity",964763.808448716
"238",30,"C_999",2026-09-01,"non_proc",4124353.78999214,"activity",4074483.03641269
"239",30,"C_999",2026-09-01,"dc",234708.818792048,"activity",231870.772819051
"240",30,"C_999",2026-09-01,"ord",52519.4302502677,"activity",51884.3771734682
"241",31,"C_999",2026-10-01,"first",1575699.67202488,"activity",1556015.55097787
"242",31,"C_999",2026-10-01,"fups",3537806.67770573,"activity",3493611.31730727
"243",31,"C_999",2026-10-01,"ncl",635947.914343513,"activity",628003.458970591
"244",31,"C_999",2026-10-01,"cl",3498577.64473117,"activity",3454872.34538136
