"","year","type","base_cost","ideal_cost","diff","prod","pay","drug","val_prod","val_pay","val_drug","index","diff_fin"
"23",2028,"in_cost",2.65393097991941,2.93128471731452,0.277353737395102,1.0058,1.008,1.025,1.02933835678481,1.04064514051277,1.13140821289062,1.00633639619895,0.279111160562496
"24",2028,"ncl_costing",0.66031849437117,0.729326243129773,0.0690077487586026,1.0058,1.008,1.025,1.02933835678481,1.04064514051277,1.13140821289062,1.00633639619895,0.0694450091955344
"25",2028,"proc_cost",1.79097083444002,1.97813939995888,0.187168565518855,1.0058,1.008,1.025,1.02933835678481,1.04064514051277,1.13140821289062,1.00633639619895,0.188354539705971
"26",2029,"cl_costing",6.38308315365956,7.38074018624931,0.997657032589752,1.0058,1.008,1.025,1.03530851925416,1.04897030163687,1.15969341821289,1.00777741116452,1.00541622153338
"27",2029,"dc_cost",2.24178268457121,2.59216669288828,0.35038400831707,1.0058,1.008,1.025,1.03530851925416,1.04897030163687,1.15969341821289,1.00777741116452,0.353109088815224
"28",2029,"in_cost",2.72027925441739,3.14545086247041,0.425171608053011,1.0058,1.008,1.025,1.03530851925416,1.04897030163687,1.15969341821289,1.00777741116452,0.428478342464318
"29",2029,"ncl_costing",0.676826456730449,0.782612431649608,0.105785974919159,1.0058,1.008,1.025,1.03530851925416,1.04897030163687,1.15969341821289,1.00777741116452,0.106608715941545
"30",2029,"proc_cost",1.83574510530102,2.12266663996656,0.286921534665543,1.0058,1.008,1.025,1.03530851925416,1.04897030163687,1.15969341821289,1.00777741116452,0.289153041412592
"31",2030,"cl_costing",6.54266023250103,6.8543252943116,0.311665061810564,1.0058,1.008,1.025,1.04131330866584,1.05736206404997,1.18868575366821,1.00927963309252,0.314557199231925
"32",2030,"dc_cost",2.29782725168548,2.40728616395928,0.109458912273793,1.0058,1.008,1.025,1.04131330866584,1.05736206404997,1.18868575366821,1.00927963309252,0.1104746508184
"33",2030,"in_cost",2.78828623577783,2.92110856968145,0.132822333903628,1.0058,1.008,1.025,1.04131330866584,1.05736206404997,1.18868575366821,1.00927963309252,0.134054876428747
"34",2030,"ncl_costing",0.693747118148709,0.72679433912232,0.0330472209736111,1.0058,1.008,1.025,1.04131330866584,1.05736206404997,1.18868575366821,1.00927963309252,0.0333538870589738
"35",2030,"proc_cost",1.88163873293354,1.97127215896593,0.0896334260323821,1.0058,1.008,1.025,1.04131330866584,1.05736206404997,1.18868575366821,1.00927963309252,0.0904651913387885
"36",2031,"cl_costing",6.70622673831355,6.99141180019784,0.285185061884285,1.0058,1.008,1.025,1.0473529258561,1.06582096056236,1.21840289750992,1.01084454143007,0.288277763103126
"37",2031,"dc_cost",2.35527293297762,2.45543188723846,0.100158954260845,1.0058,1.008,1.025,1.0473529258561,1.06582096056236,1.21840289750992,1.01084454143007,0.10124513218992
"38",2031,"in_cost",2.85799339167227,2.97953074107508,0.121537349402818,1.0058,1.008,1.025,1.0473529258561,1.06582096056236,1.21840289750992,1.01084454143007,0.122855366223717
"39",2031,"ncl_costing",0.711090796102426,0.741330225904767,0.0302394298023412,1.0058,1.008,1.025,1.0473529258561,1.06582096056236,1.21840289750992,1.01084454143007,0.0305673625516543
"40",2031,"proc_cost",1.92867970125688,2.01069760214524,0.0820179008883655,1.0058,1.008,1.025,1.0473529258561,1.06582096056236,1.21840289750992,1.01084454143007,0.0829073474125566
"41",2032,"cl_costing",6.87388240677138,7.1312400362018,0.257357629430417,1.0058,1.008,1.025,1.05342757282607,1.07434752824686,1.24886296994767,1.01247365074198,0.260567818615715
"42",2032,"dc_cost",2.41415475630206,2.50454052498323,0.0903857686811786,1.0058,1.008,1.025,1.05342757282607,1.07434752824686,1.24886296994767,1.01247365074198,0.0915132091917526
"43",2032,"in_cost",2.92944322646407,3.03912135589659,0.109678129432519,1.0058,1.008,1.025,1.05342757282607,1.07434752824686,1.24886296994767,1.01247365074198,0.111046216113093
"44",2032,"ncl_costing",0.728868066004985,0.756156830422863,0.0272887644178772,1.0058,1.008,1.025,1.05342757282607,1.07434752824686,1.24886296994767,1.01247365074198,0.0276291549344058
"45",2032,"proc_cost",1.9768966937883,2.05091155418815,0.0740148603998518,1.0058,1.008,1.025,1.05342757282607,1.07434752824686,1.24886296994767,1.01247365074198,0.0749380959181956
"46",2033,"cl_costing",7.04572946694066,7.27386483692584,0.228135369985182,1.0058,1.008,1.025,1.05953745274846,1.08294230847284,1.28008454419636,1.0141685115653,0.231367708613271
"47",2033,"dc_cost",2.4745086252096,2.5546313354829,0.0801227102732969,1.0058,1.008,1.025,1.05953745274846,1.08294230847284,1.28008454419636,1.0141685115653,0.0812579298204473
"48",2033,"in_cost",3.00267930712567,3.09990378301452,0.0972244758888547,1.0058,1.008,1.025,1.05953745274846,1.08294230847284,1.28008454419636,1.0141685115653,0.0986020019999163
"49",2033,"ncl_costing",0.747089767655109,0.77127996703132,0.0241901993762114,1.0058,1.008,1.025,1.05953745274846,1.08294230847284,1.28008454419636,1.0141685115653,0.0245329384958401
"50",2033,"proc_cost",2.026319111133,2.09192978527191,0.0656106741389109,1.0058,1.008,1.025,1.05953745274846,1.08294230847284,1.28008454419636,1.0141685115653,0.0665402797342552
"51",2034,"cl_costing",1.78878458852663,1.84108436637818,0.0522997778515555,1.0058,1.008,1.025,1.0656827699744,1.09160584694062,1.31208665780127,1.01593071128497,0.0531329505127767
"52",2034,"dc_cost",0.628233444630558,0.646601486150951,0.0183680415203927,1.0058,1.008,1.025,1.0656827699744,1.09160584694062,1.31208665780127,1.01593071128497,0.0186606574867245
"53",2034,"in_cost",0.762326526171098,0.784615128289442,0.0222886021183444,1.0058,1.008,1.025,1.0656827699744,1.09160584694062,1.31208665780127,1.01593071128497,0.0226436754036373
"54",2034,"ncl_costing",0.189672718615986,0.195218294708124,0.00554557609213716,1.0058,1.008,1.025,1.0656827699744,1.09160584694062,1.31208665780127,1.01593071128497,0.00563392106376983
"55",2034,"proc_cost",0.514446149889653,0.529487323392817,0.0150411735031649,1.0058,1.008,1.025,1.0656827699744,1.09160584694062,1.31208665780127,1.01593071128497,0.015280790095631
