t,i,s,z
27,3,C_999,265199.03936576034
27,2,C_999,403791.5101445956
27,1,C_999,702414.4510308108
27,0,C_999,1810182.0186462358
28,25,C_999,1.1476789366301509e-07
28,24,C_999,-9.460393902949571e-07
28,23,C_999,9.960057141332254e-06
28,22,C_999,-0.00012162392100443066
28,21,C_999,0.0011349062278641544
28,20,C_999,-0.004855915788936113
28,19,C_999,0.007957822968272292
28,18,C_999,2.1939505815196454
28,17,C_999,32.9917913415585
28,16,C_999,245.25432265368644
28,15,C_999,1002.8878662180476
28,14,C_999,2481.7796581556054
28,13,C_999,5175.747029551224
28,12,C_999,9477.30798585209
28,11,C_999,15161.812414826087
28,10,C_999,22797.48310481787
28,9,C_999,33406.94449392974
28,8,C_999,47240.476713739336
28,7,C_999,64711.174060002675
28,6,C_999,89167.27795134482
28,5,C_999,123442.32090285543
28,4,C_999,178286.93310207408
28,3,C_999,259552.35839736855
28,2,C_999,395914.8769088551
28,1,C_999,692080.4203954309
28,0,C_999,1812429.3373869224
29,25,C_999,2.183677789186194e-07
29,24,C_999,-1.5638945044654225e-06
29,23,C_999,1.3451049351500551e-05
29,22,C_999,-0.000125325746686159
29,21,C_999,0.0007996247574420072
29,20,C_999,-0.0012572969200368572
29,19,C_999,-0.015891268034631444
29,18,C_999,1.7739869078368071
29,17,C_999,30.463775808463076
29,16,C_999,237.44182616713664
29,15,C_999,987.278622704133
29,14,C_999,2449.2118420670417
29,13,C_999,5109.606362725522
29,12,C_999,9343.807261516902
29,11,C_999,14915.097502964656
29,10,C_999,22373.852285107343
29,9,C_999,32715.876912465294
29,8,C_999,46171.376206065695
29,7,C_999,63143.99452708826
29,6,C_999,86910.43634636351
29,5,C_999,120220.70941495364
29,4,C_999,173652.5367284106
29,3,C_999,253022.0667358508
29,2,C_999,386871.53754516825
29,1,C_999,680182.9245208481
29,0,C_999,1814679.446146221
30,25,C_999,3.749814347568811e-07
30,24,C_999,-2.3091965129266226e-06
30,23,C_999,1.562371001021464e-05
30,22,C_999,-9.954972159236452e-05
30,21,C_999,0.00022559005404099164
30,20,C_999,0.0027438648507999083
30,19,C_999,-0.03359088059249133
30,18,C_999,1.3047118215334028
30,17,C_999,27.14957512891211
30,16,C_999,225.1650007747239
30,15,C_999,957.4748966698406
30,14,C_999,2387.3322286659227
30,13,C_999,4991.503394966313
30,12,C_999,9127.885404425004
30,11,C_999,14552.371660519046
30,10,C_999,21795.331172300746
30,9,C_999,31822.128205816873
30,8,C_999,44844.753108295736
30,7,C_999,61258.60251593184
30,6,C_999,84257.1056702256
30,5,C_999,116499.95585027934
30,4,C_999,168364.6331032098
30,3,C_999,245630.49701189098
30,2,C_999,376664.1000971016
30,1,C_999,666665.8931720513
30,0,C_999,1816932.3483879042
31,25,C_999,5.73544076704913e-07
31,24,C_999,-2.93755806897812e-06
31,23,C_999,1.397221905778509e-05
31,22,C_999,-3.162378993880002e-05
31,21,C_999,-0.0005374625608456393
31,20,C_999,0.006349480033788914
31,19,C_999,-0.04171623725078329
31,18,C_999,0.8314864384435187
31,17,C_999,23.26729912803049
31,16,C_999,209.08737485379342
31,15,C_999,914.9710493819889
31,14,C_999,2298.8374541272397
31,13,C_999,4825.907190626522
31,12,C_999,8836.399919110403
31,11,C_999,14083.137174489446
31,10,C_999,21074.431215457815
31,9,C_999,30741.69725486832
31,8,C_999,43280.24927064862
31,7,C_999,59077.912406041156
31,6,C_999,81233.21694549073
31,5,C_999,112308.31149369675
31,4,C_999,162451.47212244227
31,3,C_999,237399.31615312357
31,2,C_999,365291.31334673194
31,1,C_999,651458.5788151403
31,0,C_999,1819188.0475800473
32,25,C_999,7.47725828503693e-07
32,24,C_999,-2.8801528380196175e-06
32,23,C_999,4.9884119310213306e-06
32,22,C_999,8.468697781913094e-05
32,21,C_999,-0.001359504721488828
32,20,C_999,0.00864169581461758
32,19,C_999,-0.03860058037165042
32,18,C_999,0.39793393065794397
32,17,C_999,19.055172959677204
32,16,C_999,189.976953194628
32,15,C_999,861.5107344315434
32,14,C_999,2186.875549513064
32,13,C_999,4617.886590851118
32,12,C_999,8476.931419256007
32,11,C_999,13517.713808233972
32,10,C_999,20224.558341621007
32,9,C_999,29491.546449506364
32,8,C_999,41498.53209079755
32,7,C_999,56625.90826467894
32,6,C_999,77865.80831602476
32,5,C_999,107675.14444136804
32,4,C_999,155942.19062054052
32,3,C_999,228350.1322421364
32,2,C_999,352748.5226824179
32,1,C_999,634474.0622199385
32,0,C_999,1821446.547195029
33,25,C_999,7.20984968155246e-07
33,24,C_999,-1.1279760790609823e-06
33,23,C_999,-1.4983292670319703e-05
33,22,C_999,0.0002402903590805821
33,21,C_999,-0.0020241443357522163
33,20,C_999,0.008768360284455164
33,19,C_999,-0.024817280042162698
33,18,C_999,0.04160250767428109
33,17,C_999,14.756679660528706
33,16,C_999,168.6671390278816
33,15,C_999,799.0408426500587
33,14,C_999,2054.926351708351
33,13,C_999,4372.970774203799
33,12,C_999,8057.655203611221
33,11,C_999,12867.119950417315
33,10,C_999,19259.909309925042
33,9,C_999,28089.535396736257
33,8,C_999,39521.285797912395
33,7,C_999,53927.71801799871
33,6,C_999,74183.21356255756
33,5,C_999,102631.27651005254
33,4,C_999,148867.34120137367
33,3,C_999,218505.18802370765
33,2,C_999,339028.1823960969
33,1,C_999,615607.2790630604
33,0,C_999,1823707.8507095405
34,25,C_999,1.4736667283398681e-07
34,24,C_999,3.7172798381071224e-06
34,23,C_999,-4.7582200498689706e-05
34,22,C_999,0.00040045529678944466
34,21,C_999,-0.002247778595236274
34,20,C_999,0.006183237196011687
34,19,C_999,-0.0033238329214674922
34,18,C_999,-0.20987381935384603
34,17,C_999,10.605236092512147
34,16,C_999,146.02407155327552
34,15,C_999,729.6358606611532
34,14,C_999,1906.7006228134346
34,13,C_999,4097.041446288129
34,12,C_999,7587.227014066035
34,11,C_999,12142.962050663431
34,10,C_999,18195.38258988226
34,9,C_999,26554.36974758057
34,8,C_999,37371.22032656276
34,7,C_999,51009.709660369124
34,6,C_999,70215.28006831466
34,5,C_999,97209.36685889206
34,4,C_999,141259.49988989584
34,3,C_999,207888.17345112286
34,2,C_999,324120.47581008007
34,1,C_999,594732.4782520405
34,0,C_999,1825971.9616045887
35,25,C_999,-1.5010327297546557e-06
35,24,C_999,1.2952147238859913e-05
35,23,C_999,-8.85658841837364e-05
35,22,C_999,0.0004967122951127232
35,21,C_999,-0.001735148059584763
35,20,C_999,0.0009083423816608266
35,19,C_999,0.020804323360972727
35,18,C_999,-0.34171881517476205
35,17,C_999,6.810484186803212
35,16,C_999,122.90838815181533
35,15,C_999,655.4307055408307
35,14,C_999,1746.0543502120827
35,13,C_999,3796.2324049535246
35,12,C_999,7074.673303702978
35,11,C_999,11357.332446388986
35,10,C_999,17046.497595023415
35,9,C_999,24905.559617695835
35,8,C_999,35072.092329118335
35,7,C_999,47899.60396006268
35,6,C_999,65993.6155528451
35,5,C_999,91444.34889509894
35,4,C_999,133153.9719369128
35,3,C_999,196525.202665716
35,2,C_999,308014.11477097415
35,1,C_999,571699.9775351649
35,0,C_999,1828238.8833655016
36,25,C_999,-4.777767302270609e-06
36,24,C_999,2.644785327082959e-05
36,23,C_999,-0.0001224499225094697
36,22,C_999,0.0004274246112313928
36,21,C_999,-0.00027905533146355653
36,20,C_999,-0.006235507332650159
36,19,C_999,0.04107487767772184
36,18,C_999,-0.3537596697619752
36,17,C_999,3.545728320543436
36,16,C_999,100.14070908578631
36,15,C_999,578.5605114559172
36,14,C_999,1576.906865983523
36,13,C_999,3476.8312931978817
36,12,C_999,6529.285703729853
36,11,C_999,10522.7108528571
36,10,C_999,15829.317445877634
36,9,C_999,23163.38216412271
36,8,C_999,32648.732001851175
36,7,C_999,44626.59984486101
36,6,C_999,61551.86382581356
36,5,C_999,85373.92794447098
36,4,C_999,124589.62216984405
36,3,C_999,184446.01539039033
36,2,C_999,290697.4118617066
36,1,C_999,546332.034690561
36,0,C_999,1830508.619481935
37,25,C_999,-9.725611713470702e-06
37,24,C_999,4.010885801951938e-05
37,23,C_999,-0.00011723820406025804
37,22,C_999,7.648850972698506e-05
37,21,C_999,0.002097218423215223
37,20,C_999,-0.0135003197835881
37,19,C_999,0.05068581825710159
37,18,C_999,-0.26075389588999665
37,17,C_999,0.9379184140177284
37,16,C_999,78.470741998571
37,15,C_999,501.1032923920751
37,14,C_999,1403.160637153968
37,13,C_999,3145.18328566794
37,12,C_999,5960.516408139509
37,11,C_999,9651.865616076455
37,10,C_999,14560.370379761844
37,9,C_999,21348.842082038118
37,8,C_999,30127.07019973328
37,7,C_999,41221.508505441576
37,6,C_999,56926.00911501464
37,5,C_999,79039.14953210989
37,4,C_999,115609.8626739357
37,3,C_999,171685.47701760626
37,2,C_999,272159.75843150844
37,1,C_999,518417.5819195111
37,0,C_999,1832781.1734478762
38,25,C_999,-1.4686757989049438e-05
38,24,C_999,4.211653954761343e-05
38,23,C_999,-2.3306384331652912e-05
38,22,C_999,-0.0006386198499515267
38,21,C_999,0.004971227292920825
38,20,C_999,-0.01826658694488683
38,19,C_999,0.0439508213422992
38,18,C_999,-0.0911607880301659
38,17,C_999,-0.9395066650950078
38,16,C_999,58.549645246808105
38,15,C_999,425.0251490337216
38,14,C_999,1228.622853395514
38,13,C_999,2807.594933051921
38,12,C_999,5377.871726470269
38,11,C_999,8757.750774557755
38,10,C_999,13256.564318899062
38,9,C_999,19483.624086225183
38,8,C_999,27534.159668008037
38,7,C_999,37716.890728303595
38,6,C_999,52154.70830001167
38,5,C_999,72485.04890120926
38,4,C_999,106263.83490369855
38,3,C_999,158285.4754847171
38,2,C_999,252393.69940183833
38,1,C_999,487705.47378684
38,0,C_999,1835056.5487616512
39,25,C_999,-1.4298879518724395e-05
39,24,C_999,9.18209758288806e-06
39,23,C_999,0.00021588240139141135
39,22,C_999,-0.0016794986586592068
39,21,C_999,0.00736498841445558
39,20,C_999,-0.017367270153157234
39,19,C_999,0.01789121767080559
39,18,C_999,0.1156768981209889
39,17,C_999,-2.0705759187655937
39,16,C_999,40.90618678357938
39,15,C_999,352.12858544062607
39,14,C_999,1056.9283503180277
39,13,C_999,2470.2367675479386
39,12,C_999,4790.801099864394
39,11,C_999,7853.394630939626
39,10,C_999,11935.089229100002
39,9,C_999,17590.030715682482
39,8,C_999,24898.182494491564
39,7,C_999,34147.190438616824
39,6,C_999,47279.64834735866
39,5,C_999,65761.39030597772
39,4,C_999,96607.83082699697
39,3,C_999,144297.34450945808
39,2,C_999,231397.8865810815
39,1,C_999,453895.762609605
39,0,C_999,1837334.7489259285
40,25,C_999,2.8802767019472787e-06
40,24,C_999,-9.328452309728577e-05
40,23,C_999,0.0006292238117398645
40,22,C_999,-0.0027577676431146027
40,21,C_999,0.007669062983816789
40,20,C_999,-0.007752607291287149
40,19,C_999,-0.026221564845667403
40,18,C_999,0.3138864452139862
40,17,C_999,-2.497158297398917
40,16,C_999,25.9274395457404
40,15,C_999,284.00439330775896
40,14,C_999,891.4637245309672
40,13,C_999,2139.0434482395844
40,12,C_999,4208.578812500018
40,11,C_999,6951.775678857562
40,10,C_999,10613.301352369224
40,9,C_999,15690.897309780225
40,8,C_999,22248.433973858904
40,7,C_999,30548.854178244954
40,6,C_999,42345.92127179789
40,5,C_999,58923.50224579048
40,4,C_999,86707.0051337842
40,3,C_999,129784.98698484963
40,2,C_999,209181.33473210342
40,1,C_999,416628.316102755
