"","t","s","first","fups","dc","ord","date"
"65",65,"C_999",1663548.65677286,3735047.7702749,248405.518565574,55584.2612698977,2029-07-01
"66",66,"C_999",1666975.29463273,3742741.35714171,248917.193262345,55698.7557472938,2029-08-01
"67",67,"C_999",1670408.99080554,3750450.79153779,249429.921925214,55813.4860645672,2029-09-01
"68",68,"C_999",1673849.75983028,3758176.10610646,249943.70672518,55928.4527075094,2029-10-01
"69",69,"C_999",1677297.61627584,3765917.33355827,250458.549837711,56043.6561629125,2029-11-01
"70",70,"C_999",1680752.57474117,3773674.50667117,250974.453442759,56159.0969185714,2029-12-01
"71",71,"C_999",1684214.64985525,3781447.65829059,251491.419724764,56274.7754632859,2030-01-01
"72",72,"C_999",1687683.85627722,3789236.82132965,252009.450872668,56390.6922868624,2030-02-01
"73",73,"C_999",1691160.20869641,3797042.02876924,252528.549079918,56506.8478801165,2030-03-01
"74",74,"C_999",1694643.7218324,3804863.31365822,253048.716544484,56623.2427348744,2030-04-01
"75",75,"C_999",1698134.41043509,3812700.70911349,253569.955468859,56739.8773439758,2030-05-01
"76",76,"C_999",1701632.28928477,3820554.24832018,254092.268060076,56856.7522012754,2030-06-01
"77",77,"C_999",1705137.37319218,3828423.96453177,254615.656529713,56973.867801645,2030-07-01
"78",78,"C_999",1708649.67699854,3836309.89107025,255140.123093903,57091.2246409761,2030-08-01
"79",79,"C_999",1712169.21557568,3844212.06132623,255665.669973344,57208.8232161813,2030-09-01
"80",80,"C_999",1715696.00382603,3852130.50875911,256192.299393309,57326.664025197,2030-10-01
"81",81,"C_999",1719230.05668274,3860065.26689722,256720.013583653,57444.7475669852,2030-11-01
"82",82,"C_999",1722771.38910969,3868016.36933794,257248.814778828,57563.0743415356,2030-12-01
"83",83,"C_999",1726320.01610163,3875983.84974785,257778.705217883,57681.644849868,2031-01-01
"84",84,"C_999",1729875.95268415,3883967.74186288,258309.687144484,57800.4595940339,2031-02-01
"85",85,"C_999",1733439.21391382,3891968.07948847,258841.762806916,57919.5190771193,2031-03-01
"86",86,"C_999",1737009.81487821,3899984.89649967,259374.934458096,58038.8238032462,2031-04-01
"87",87,"C_999",1740587.77069597,3908018.22684132,259909.20435558,58158.3742775751,2031-05-01
"88",88,"C_999",1744173.09651689,3916068.10452817,260444.574761578,58278.1710063072,2031-06-01
"89",89,"C_999",1747765.80752198,3924134.56364506,260981.047942956,58398.2144966861,2031-07-01
"90",90,"C_999",1751365.9189235,3932217.638347,261518.62617125,58518.5052570004,2031-08-01
"91",91,"C_999",1754973.44596507,3940317.36285938,262057.311722677,58639.0437965857,2031-09-01
"92",92,"C_999",1758588.40392168,3948433.77147809,262597.106878141,58759.8306258269,2031-10-01
"93",93,"C_999",1762210.8080998,3956566.89856965,263138.013923244,58880.8662561598,2031-11-01
"94",94,"C_999",1765840.67383743,3964716.77857138,263680.035148298,59002.151200074,2031-12-01
"95",95,"C_999",1769478.01650417,3972883.44599154,264223.17284833,59123.6859711146,2032-01-01
"96",96,"C_999",1773122.85150125,3981066.93540945,264767.429323096,59245.4710838847,2032-02-01
"97",97,"C_999",1776775.19426166,3989267.28147568,265312.806877088,59367.5070540472,2032-03-01
"98",98,"C_999",1780435.06025016,3997484.51891216,265859.307819548,59489.7943983273,2032-04-01
"99",99,"C_999",1784102.46496336,4005718.68251235,266406.93446447,59612.3336345144,2032-05-01
"100",100,"C_999",1787777.42392981,4013969.80714137,266955.689130617,59735.1252814648,2032-06-01
"101",101,"C_999",1791459.95271003,4022237.92773618,267505.574141529,59858.1698591031,2032-07-01
