"","t","s","date","activity_type","ideal_value","measure_type","baseline_value"
"128",16,"C_999",2025-06-01,"ord",52025.7744382428,"activity",50253.0842126494
"129",17,"C_999",2025-07-01,"first",1563640.34843544,"activity",1507092.97825915
"130",17,"C_999",2025-07-01,"fups",3510730.73405937,"activity",3383768.93583845
"131",17,"C_999",2025-07-01,"ncl",631080.805578274,"activity",608258.447508597
"132",17,"C_999",2025-07-01,"cl",3471801.93317291,"activity",3346247.95313501
"133",17,"C_999",2025-07-01,"proc",971488.343743632,"activity",936355.513453985
"134",17,"C_999",2025-07-01,"non_proc",4102882.73875118,"activity",3954506.40064361
"135",17,"C_999",2025-07-01,"dc",233486.943722257,"activity",225043.139716301
"136",17,"C_999",2025-07-01,"ord",52246.0183570432,"activity",50356.5973381821
"137",18,"C_999",2025-08-01,"first",1570259.80353539,"activity",1510197.34303779
"138",18,"C_999",2025-08-01,"fups",3525592.92694494,"activity",3390738.94582126
"139",18,"C_999",2025-08-01,"ncl",633752.398864507,"activity",609511.360320213
"140",18,"C_999",2025-08-01,"cl",3486499.32636536,"activity",3353140.67603677
"141",18,"C_999",2025-08-01,"proc",975601.005250459,"activity",938284.252502064
"142",18,"C_999",2025-08-01,"non_proc",4120251.72522987,"activity",3962652.03635698
"143",18,"C_999",2025-08-01,"dc",234475.37839775,"activity",225506.691737768
"144",18,"C_999",2025-08-01,"ord",52467.1946480052,"activity",50460.3236838052
"145",19,"C_999",2025-09-01,"first",1576907.28118276,"activity",1513308.1022996
"146",19,"C_999",2025-09-01,"fups",3540518.03686805,"activity",3397723.31288343
"147",19,"C_999",2025-09-01,"ncl",636435.301971327,"activity",610766.853927082
"148",19,"C_999",2025-09-01,"cl",3501258.93893865,"activity",3360047.59681915
"149",19,"C_999",2025-09-01,"proc",979731.077140827,"activity",940216.96443679
"150",19,"C_999",2025-09-01,"non_proc",4137694.24090998,"activity",3970814.45074624
"151",19,"C_999",2025-09-01,"dc",235467.9974747,"activity",225971.198600501
"152",19,"C_999",2025-09-01,"ord",52689.3072581972,"activity",50564.263688717
"153",20,"C_999",2025-10-01,"first",1583582.90000713,"activity",1516425.26921616
"154",20,"C_999",2025-10-01,"fups",3555506.33017926,"activity",3404722.0665982
"155",20,"C_999",2025-10-01,"ncl",639129.562777295,"activity",612024.933645218
"156",20,"C_999",2025-10-01,"cl",3516081.03428991,"activity",3366968.74472748
"157",20,"C_999",2025-10-01,"proc",983878.633119185,"activity",942153.657441659
"158",20,"C_999",2025-10-01,"non_proc",4155210.59706721,"activity",3978993.6783727
"159",20,"C_999",2025-10-01,"dc",236464.818667194,"activity",226436.662271318
"160",20,"C_999",2025-10-01,"ord",52912.3601513973,"activity",50668.417793021
"161",21,"C_999",2025-11-01,"first",1590286.77914029,"activity",1519548.8569862
"162",21,"C_999",2025-11-01,"fups",3570558.07435671,"activity",3411735.23659971
"163",21,"C_999",2025-11-01,"ncl",641835.22936366,"activity",613285.604801589
"164",21,"C_999",2025-11-01,"cl",3530965.87693134,"activity",3373904.1490673
"165",21,"C_999",2025-11-01,"proc",988043.747202001,"activity",944094.339717022
"166",21,"C_999",2025-11-01,"non_proc",4172801.106295,"activity",3987189.75386889
"167",21,"C_999",2025-11-01,"dc",237465.859764304,"activity",226903.084721087
"168",21,"C_999",2025-11-01,"ord",53136.3573081634,"activity",50772.7864377266
"169",22,"C_999",2025-12-01,"first",1597019.03821834,"activity",1522678.87883562
"170",22,"C_999",2025-12-01,"fups",3585673.53801087,"activity",3418762.85258316
"171",22,"C_999",2025-12-01,"ncl",644552.350015213,"activity",614548.872734132
"172",22,"C_999",2025-12-01,"cl",3545913.73249492,"activity",3380853.83920452
"173",22,"C_999",2025-12-01,"proc",992226.493719083,"activity",946039.019480125
"174",22,"C_999",2025-12-01,"non_proc",4190466.08251013,"activity",3995402.71193865
"175",22,"C_999",2025-12-01,"dc",238471.138630415,"activity",227370.467924735
"176",22,"C_999",2025-12-01,"ord",53361.3027259048,"activity",50877.370064752
"177",23,"C_999",2026-01-01,"first",1603779.79738385,"activity",1525815.34801757
"178",23,"C_999",2026-01-01,"fups",3600852.99088933,"activity",3425804.9443049
"179",23,"C_999",2026-01-01,"ncl",647280.973221157,"activity",615814.74279178
"180",23,"C_999",2026-01-01,"cl",3560924.86773712,"activity",3387817.84456555
"181",23,"C_999",2026-01-01,"proc",996426.9473149,"activity",947987.704965136
"182",23,"C_999",2026-01-01,"non_proc",4208205.84095828,"activity",4003632.58735733
"183",23,"C_999",2026-01-01,"dc",239480.673205534,"activity",227838.813861257
"184",23,"C_999",2026-01-01,"ord",53587.2004189531,"activity",50982.1691169256
"185",24,"C_999",2026-02-01,"first",1610569.177288,"activity",1528958.2778125
"186",24,"C_999",2026-02-01,"fups",3616096.70388161,"activity",3432861.54158259
"187",24,"C_999",2026-02-01,"ncl",650021.147675963,"activity",617083.220334487
"188",24,"C_999",2026-02-01,"cl",3575999.55054372,"activity",3394796.19463741
"189",24,"C_999",2026-02-01,"proc",1000645.18294992,"activity",949940.404423188
"190",24,"C_999",2026-02-01,"non_proc",4226020.69821969,"activity",4011879.41497189
"191",24,"C_999",2026-02-01,"dc",240494.481505618,"activity",228308.124513727
"192",24,"C_999",2026-02-01,"ord",53814.054418634,"activity",51087.1840379879
"193",25,"C_999",2026-03-01,"first",1617387.29909272,"activity",1532107.68152821
"194",25,"C_999",2026-03-01,"fups",3631404.94902402,"activity",3439932.67429529
"195",25,"C_999",2026-03-01,"ncl",652772.922280246,"activity",618354.310733243
"196",25,"C_999",2026-03-01,"cl",3591138.04993454,"activity",3401788.91896784
"197",25,"C_999",2026-03-01,"proc",1004881.27590195,"activity",951897.126122409
"198",25,"C_999",2026-03-01,"non_proc",4243910.97221479,"activity",4020143.22970109
"199",25,"C_999",2026-03-01,"dc",241512.581622888,"activity",228778.4018693
"200",25,"C_999",2026-03-01,"ord",54041.8687733395,"activity",51192.4152725935
"201",26,"C_999",2026-04-01,"first",1624234.28447288,"activity",1535263.57249993
"202",26,"C_999",2026-04-01,"fups",3646777.99950448,"activity",3447018.37238362
"203",26,"C_999",2026-04-01,"ncl",655536.346141633,"activity",619628.019370105
"204",26,"C_999",2026-04-01,"cl",3606340.63606826,"activity",3408796.04716548
"205",26,"C_999",2026-04-01,"proc",1009135.30176747,"activity",953857.878347954
"206",26,"C_999",2026-04-01,"non_proc",4261876.9822099,"activity",4028424.06653559
"207",26,"C_999",2026-04-01,"dc",242534.991726161,"activity",229249.647919227
"208",26,"C_999",2026-04-01,"ord",54270.6475485996,"activity",51297.8632663128
"209",27,"C_999",2026-05-01,"first",1631110.25561843,"activity",1538425.96409033
"210",27,"C_999",2026-05-01,"fups",3662216.12966743,"activity",3454118.66584987
"211",27,"C_999",2026-05-01,"ncl",658311.468575644,"activity",620904.351638214
"212",27,"C_999",2026-05-01,"cl",3621607.58024724,"activity",3415817.60889993
"213",27,"C_999",2026-05-01,"proc",1013407.33646298,"activity",955822.669402051
"214",27,"C_999",2026-05-01,"non_proc",4279919.04882289,"activity",4036721.96053815
"215",27,"C_999",2026-05-01,"dc",243561.730061164,"activity",229721.864658859
"216",27,"C_999",2026-05-01,"ord",54500.3948271553,"activity",51403.5284656342
"217",28,"C_999",2026-06-01,"first",1638015.3352366,"activity",1541594.86968963
"218",28,"C_999",2026-06-01,"fups",3677719.61501871,"activity",3461233.58475812
"219",28,"C_999",2026-06-01,"ncl",661098.339106566,"activity",622183.312941822
"220",28,"C_999",2026-06-01,"cl",3636939.15492237,"activity",3422853.63390191
"221",28,"C_999",2026-06-01,"proc",1017697.45622638,"activity",957791.507604023
"222",28,"C_999",2026-06-01,"non_proc",4298037.49402893,"activity",4045036.94684373
"223",28,"C_999",2026-06-01,"dc",244592.81495087,"activity",230195.05408766
"224",28,"C_999",2026-06-01,"ord",54731.1147090314,"activity",51509.4113179656
"225",29,"C_999",2026-07-01,"first",1644949.64655408,"activity",1544770.30271562
"226",29,"C_999",2026-07-01,"fups",3693288.73223046,"activity",3468363.15923441
"227",29,"C_999",2026-07-01,"ncl",663897.007468344,"activity",623464.908696311
"228",29,"C_999",2026-07-01,"cl",3652335.63369789,"activity",3429904.15196339
"229",29,"C_999",2026-07-01,"proc",1022005.7376183,"activity",959764.401290333
"230",29,"C_999",2026-07-01,"non_proc",4316232.64116624,"activity",4053369.0606597
"231",29,"C_999",2026-07-01,"dc",245628.264795814,"activity",230669.218209208
"232",29,"C_999",2026-07-01,"ord",54962.8113116094,"activity",51615.5122716366
"233",30,"C_999",2026-08-01,"first",1651913.31331922,"activity",1547952.27661373
"234",30,"C_999",2026-08-01,"fups",3708923.75914608,"activity",3475507.41946679
"235",30,"C_999",2026-08-01,"ncl",666707.523605461,"activity",624749.144328217
"236",30,"C_999",2026-08-01,"cl",3667797.29133636,"activity",3436969.19293768
"237",30,"C_999",2026-08-01,"proc",1026332.25752348,"activity",961741.358814615
"238",30,"C_999",2026-08-01,"non_proc",4334504.81494182,"activity",4061718.3372659
"239",30,"C_999",2026-08-01,"dc",246668.098074433,"activity",231144.359031211
"240",30,"C_999",2026-08-01,"ord",55195.4887697014,"activity",51721.8317759002
"241",31,"C_999",2026-09-01,"first",1658906.45980426,"activity",1551140.80485709
"242",31,"C_999",2026-09-01,"fups",3724624.97478518,"activity",3482666.39570551
"243",31,"C_999",2026-09-01,"ncl",669529.937673836,"activity",626036.025275258
"244",31,"C_999",2026-09-01,"cl",3683324.40376346,"activity",3444048.78673963
"245",31,"C_999",2026-09-01,"proc",1030677.09315215,"activity",963722.388547709
"246",31,"C_999",2026-09-01,"non_proc",4352854.34143729,"activity",4070084.81201489
"247",31,"C_999",2026-09-01,"dc",247712.333343385,"activity",231620.478565514
"248",31,"C_999",2026-09-01,"ord",55429.1512356234,"activity",51828.3702809349
"249",32,"C_999",2026-10-01,"first",1665929.2108075,"activity",1554335.90094656
"250",32,"C_999",2026-10-01,"fups",3740392.65934858,"activity",3489840.11826315
"251",32,"C_999",2026-10-01,"ncl",672364.300041714,"activity",627325.556986348
"252",32,"C_999",2026-10-01,"cl",3698917.24807298,"activity",3451142.96334566
"253",32,"C_999",2026-10-01,"proc",1035040.32204138,"activity",965707.498877699
"254",32,"C_999",2026-10-01,"non_proc",4371281.5481147,"activity",4078468.52033201
"255",32,"C_999",2026-10-01,"dc",248760.989237888,"activity",232097.578828101
"256",32,"C_999",2026-10-01,"ord",55663.8028792699,"activity",51935.1282378464
"257",33,"C_999",2026-11-01,"first",1672981.69165558,"activity",1557537.57841085
"258",33,"C_999",2026-11-01,"fups",3756227.09422326,"activity",3497028.6175147
"259",33,"C_999",2026-11-01,"ncl",675210.661290569,"activity",628617.744921628
"260",33,"C_999",2026-11-01,"cl",3714576.10253177,"activity",3458251.75279398
"261",33,"C_999",2026-11-01,"proc",1039422.0220565,"activity",967696.698209947
"262",33,"C_999",2026-11-01,"non_proc",4389786.76382234,"activity",4086869.4977156
"263",33,"C_999",2026-11-01,"dc",249814.084472048,"activity",232575.661839114
"264",33,"C_999",2026-11-01,"ord",55899.4478881879,"activity",52042.1060986697
"265",34,"C_999",2026-12-01,"first",1680064.02820569,"activity",1560745.85080651
"266",34,"C_999",2026-12-01,"fups",3772128.56198744,"activity",3504231.92389773
"267",34,"C_999",2026-12-01,"ncl",678069.072216004,"activity",629912.594552484
"268",34,"C_999",2026-12-01,"cl",3730301.24658465,"activity",3465375.18518463
"269",34,"C_999",2026-12-01,"proc",1043822.27139247,"activity",969689.994967126
"270",34,"C_999",2026-12-01,"non_proc",4408370.31880065,"activity",4095287.77973711
"271",34,"C_999",2026-12-01,"dc",250871.637839196,"activity",233054.729622853
"272",34,"C_999",2026-12-01,"ord",56136.0904676518,"activity",52149.3043163707
"273",35,"C_999",2027-01-01,"first",1687176.34684781,"activity",1563960.731718
"274",35,"C_999",2027-01-01,"fups",3788097.34641557,"activity",3511450.06791252
"275",35,"C_999",2027-01-01,"ncl",680939.583828656,"activity",631210.111361574
"276",35,"C_999",2027-01-01,"cl",3746092.96085945,"activity",3472513.29067968
"277",35,"C_999",2027-01-01,"proc",1048241.14857527,"activity",971687.397589263
"278",35,"C_999",2027-01-01,"non_proc",4427032.5446881,"activity",4103723.40204126
"279",35,"C_999",2027-01-01,"dc",251933.668212222,"activity",233534.784207788
"280",35,"C_999",2027-01-01,"ord",56373.7348407386,"activity",52256.7233448486
"281",36,"C_999",2027-02-01,"first",1694318.77450697,"activity",1567182.23475781
"282",36,"C_999",2027-02-01,"fups",3804133.73248345,"activity",3518683.08012215
"283",36,"C_999",2027-02-01,"ncl",683822.247355112,"activity",632510.300842848
"284",36,"C_999",2027-02-01,"cl",3761951.52717199,"activity",3479666.09950334
"285",36,"C_999",2027-02-01,"proc",1052678.73246332,"activity",973688.914533767
"286",36,"C_999",2027-02-01,"non_proc",4445773.77452711,"activity",4112176.40034619
