"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"100",100,"C_999",1787777.42392981,4013969.80714137,721541.892940516,3969460.83074209,1110744.50738858,4691002.72368261,266955.689130617,59735.1252814648,2032-06-01
"101",101,"C_999",1791459.95271003,4022237.92773618,723028.151101806,3977637.27013297,1113032.45921143,4700665.42123478,267505.574141529,59858.1698591031,2032-07-01
"102",102,"C_999",1795150.06689659,4030523.07930567,724517.470711563,3985830.55165027,1115325.12384042,4710348.02236183,268056.591825531,59981.4678884253,2032-08-01
"103",103,"C_999",1798847.78211419,4038825.29693086,726009.858075869,3994040.70998601,1117622.51098317,4720050.56806188,268608.744515744,60105.0198915003,2032-09-01
"104",104,"C_999",1802553.11401972,4047144.61576503,727505.319513797,4002267.77990366,1119924.63036729,4729773.09941746,269162.034550094,60228.8263914724,2032-10-01
"105",105,"C_999",1806266.07830229,4055481.07103389,729003.861357436,4010511.79623833,1122231.49174041,4739515.65759577,269716.464271325,60352.8879125637,2032-11-01
"106",106,"C_999",1809986.69068337,4063834.69803566,730505.489951915,4018772.79389686,1124543.10487026,4749278.28384877,270272.036027005,60477.2049800757,2032-12-01
"107",107,"C_999",1813714.96691677,4072205.53214132,732010.211655437,4027050.80785798,1126859.47954467,4759061.01951342,270828.752169538,60601.7781203924,2033-01-01
"108",108,"C_999",1817450.92278878,4080593.60879468,733518.0328393,4035345.87317251,1129180.62557165,4768863.90601181,271386.615056173,60726.6078609817,2033-02-01
"109",109,"C_999",1821194.5741182,4088998.96351256,735028.959887926,4043658.02496343,1131506.55277941,4778686.98485136,271945.627049015,60851.6947303983,2033-03-01
"110",110,"C_999",1824945.93675641,4097421.63188496,736542.999198888,4051987.29842609,1133837.27101639,4788530.29762498,272505.790515036,60977.0392582854,2033-04-01
"111",111,"C_999",1828705.02658744,4105861.64957515,738060.157182937,4060333.72882833,1136172.79015133,4798393.88601127,273067.107826081,61102.6419753772,2033-05-01
"112",112,"C_999",1832471.85952805,4114319.0523199,739580.440264028,4068697.35151064,1138513.12007329,4808277.79177466,273629.581358882,61228.5034135013,2033-06-01
