"","t","i","a","s","open","completed","carried","c_a"
"225",8,6,0.944439249215149,"C_999",353480,46399,374275,0.116032599861458
"226",9,6,0.957946830333057,"C_999",349778,51018,365133,0.12729168953782
"227",10,6,0.923235204519649,"C_999",333371,49359,361090,0.128965589318841
"228",11,6,0.938415839123032,"C_999",377520,58882,402295,0.134926054417716
"229",12,6,0.937322676547473,"C_999",386535,47728,412382,0.109905748359865
"230",13,6,0.94083464357358,"C_999",381770,60091,405778,0.135995256426795
"231",14,6,0.979803041742359,"C_999",297187,43678,303313,0.128138705939301
"232",15,6,0.921420614609482,"C_999",414408,51204,449749,0.109971392489884
"233",16,6,0.957198184620801,"C_999",445861,58618,465798,0.116195124078505
"234",17,6,0.960441264362574,"C_999",400140,60710,416621,0.131734837799718
"235",18,6,0.90504109205114,"C_999",439173,56773,485252,0.114474156460582
"236",19,6,0.948438163074391,"C_999",404525,67291,426517,0.142621276090679
"237",20,6,0.971829011610855,"C_999",450641,50651,463704,0.101040910287816
"238",21,6,0.986970655440125,"C_999",449651,64209,455587,0.124954267699373
"239",22,6,0.940088163633205,"C_999",400502,56766,426026,0.124141641225714
"240",23,6,0.943860820192573,"C_999",469449,61933,497371,0.11655080525874
"241",24,6,0.943330576222968,"C_999",480143,51959,508987,0.0976485711386163
"242",25,6,0.946339126634619,"C_999",450412,63063,475952,0.122816105944788
"243",26,6,0.972493728916184,"C_999",371019,50663,381513,0.120145038204144
"244",27,6,0.941788113734851,"C_999",489646,58269,519911,0.106346787366654
"245",28,6,0.96668347627705,"C_999",519487,59245,537391,0.102370354499146
"246",29,6,0.956572654410619,"C_999",466421,59914,487596,0.113832445115753
"247",30,6,0.94284851260365,"C_999",483818,62926,513145,0.115092255241941
"248",31,6,0.945208459072418,"C_999",482355,70520,510316,0.127551435677142
"249",32,6,0.959162721081272,"C_999",510100,53143,531818,0.0943518161788074
"250",33,6,0.949955013573158,"C_999",492014,67938,517934,0.121328256707718
"251",34,6,0.941951287621504,"C_999",458751,59251,487022,0.114383728248153
"252",35,6,0.952619863211192,"C_999",495570,59325,520218,0.106912118508907
"253",0,7,NA,"C_999",231738,35777,NA,0.133738295048876
"254",1,7,0.933629539222898,"C_999",223369,36685,239248,0.141066855345428
"255",2,7,0.935054218725256,"C_999",224370,40844,239954,0.154003936443777
"256",3,7,1,"C_999",168646,27724,165197,0.141182461679483
"257",4,7,0.928718239648823,"C_999",199719,24873,215048,0.110747488779654
"258",5,7,0.930270566155771,"C_999",237926,32949,255760,0.121639132441163
