"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"16",16,"C_999",1577799.33185859,3542520.8949595,636795.331091633,3503239.58830213,980285.307424324,4140034.91939377,235601.200858812,52719.1134064151,2025-07-01
"17",17,"C_999",1585479.34988838,3559764.2945445,639894.964565496,3520291.78414071,985056.895726674,4160186.7487062,236748.001617248,52975.7263566809,2025-08-01
"18",18,"C_999",1593196.75079427,3577091.6272489,643009.685662027,3537426.98240477,989851.709976364,4180436.6680668,237900.384486364,53233.5883834578,2025-09-01
"19",19,"C_999",1600951.7165393,3594503.3016214,646139.567820992,3554645.58711284,994669.863226865,4200785.15493383,239058.376637366,53492.705566689,2025-10-01
"20",20,"C_999",1608744.42997223,3611999.72819933,649284.68483963,3571948.00424998,999511.469081944,4221232.68908961,240222.005373717,53753.0840159119,2025-11-01
"21",21,"C_999",1616575.07483183,3629581.31951835,652445.110874389,3589334.64177745,1004376.64169834,4241779.75265184,241391.298131782,54014.7298704024,2025-12-01
"22",22,"C_999",1624443.83575125,3647248.49012213,655620.920442681,3606805.90964223,1009265.49578846,4262426.83008492,242566.282481472,54277.64929932,2026-01-01
"23",23,"C_999",1632350.89826233,3665001.65657217,658812.188424633,3624362.2197868,1014178.14662306,4283174.40821143,243746.986126898,54541.8485018524,2026-02-01
"24",24,"C_999",1640296.4488,3682841.2374576,662018.990064854,3642003.98615873,1019114.71003402,4304022.97622358,244933.436907021,54807.3337073624,2026-03-01
"25",25,"C_999",1648280.67470669,3700767.65340505,665241.400974212,3659731.62472054,1024075.30241699,4324973.02569475,246125.662796309,55074.1111755346,2026-04-01
"26",26,"C_999",1656303.7642367,3718781.32708859,668479.497131614,3677545.55345945,1029060.04073423,4346025.05059106,247323.691905399,55342.1871965229,2026-05-01
"27",27,"C_999",1664365.90656069,3736882.68323965,671733.354885797,3695446.19239726,1034069.04251727,4367179.54728306,248527.552481755,55611.5680910986,2026-06-01
"28",28,"C_999",1672467.29177011,3755072.14865707,675003.050957131,3713433.96360026,1039102.42586978,4388437.01455739,249737.272910341,55882.2602108001,2026-07-01
"29",29,"C_999",1680608.11088168,3773350.15221717,678288.662439426,3731509.29118915,1044160.30947027,4409797.95362858,250952.881714283,56154.2699380818,2026-08-01
"30",30,"C_999",1688788.55584192,3791717.12488383,681590.266801749,3749672.60134906,1049242.81257495,4431262.86815081,252174.407555546,56427.6036864653,2026-09-01
"31",31,"C_999",1697008.81953166,3810173.49971868,684907.941890252,3767924.32233961,1054350.05502048,4452832.26422986,253401.879235608,56702.2679006903,2026-10-01
"32",32,"C_999",1705269.09577056,3828719.71189129,688241.765930008,3786264.88450498,1059482.15722686,4474506.65043499,254635.32569614,56978.2690568666,2026-11-01
"33",33,"C_999",1713569.57932174,3847356.19868945,691591.817526853,3804694.72028409,1064639.24020024,4496286.53781095,255874.776019689,57255.6136626266,2026-12-01
"34",34,"C_999",1721910.46589632,3866083.39952945,694958.175669242,3823214.26422077,1069821.42553577,4518172.43989001,257120.259430361,57534.3082572792,2027-01-01
"35",35,"C_999",1730291.95215807,3884901.7559665,698340.919730111,3841823.952974,1075028.83542045,4540164.87270412,258371.805294512,57814.3594119635,2027-02-01
"36",36,"C_999",1738714.235728,3903811.71170506,701740.129468745,3860524.22532825,1080261.59263606,4562264.354797,259629.443121442,58095.7737298042,2027-03-01
"37",37,"C_999",1747177.51518909,3922813.71260936,705155.885032665,3879315.52220377,1085519.82056201,4584471.40723643,260893.202564087,58378.5578460667,2027-04-01
"38",38,"C_999",1755681.9900909,3941908.2067139,708588.266959511,3898198.28666702,1090803.64317828,4606786.55362653,262163.113419723,58662.7184283143,2027-05-01
"39",39,"C_999",1764227.86095433,3961095.64423403,712037.356178945,3917172.9639411,1096113.18506831,4629210.32012005,263439.205630661,58948.2621765646,2027-06-01
"40",40,"C_999",1772815.32927631,3980376.47757649,715503.234014559,3936240.00141628,1101448.57142197,4651743.23543084,264721.509284962,59235.1958234481,2027-07-01
"41",41,"C_999",1781444.59753458,3999751.1613502,718985.982185791,3955399.8486605,1106809.92803849,4674385.83084629,266010.05461714,59523.5261343667,2027-08-01
"42",42,"C_999",1790115.86919244,4019220.15237686,722485.682809854,3974652.95743,1112197.38132944,4697138.64023986,267304.872008879,59813.2599076533,2027-09-01
"43",43,"C_999",1798829.34870356,4038783.9097018,726002.418403667,3993999.78167998,1117611.05832171,4720002.20008365,268605.991989745,60104.4039747318,2027-10-01
"44",44,"C_999",1807585.24151679,4058442.89460477,729536.271885808,4013440.77757528,1123051.08666047,4742977.04946109,269913.445237909,60396.9652002786,2027-11-01
"45",45,"C_999",1816383.75408104,4078197.57061081,733087.326578464,4032976.40350114,1128517.59461226,4766063.7300796,271227.26258087,60690.9504823842,2027-12-01
"46",46,"C_999",1825225.0938501,4098048.40350122,736655.666209397,4052607.12007402,1134010.71106791,4789262.78628341,272547.474996182,60986.3667527159,2028-01-01
"47",47,"C_999",1834109.46928755,4117995.86132449,740241.374913918,4072333.39015245,1139530.56554567,4812574.76506636,273874.113612183,61283.2209766813,2028-02-01
"48",48,"C_999",1843037.08987168,4138040.41440736,743844.53723687,4092155.67884795,1145077.28819422,4836000.21608482,275207.209708729,61581.5201535924,2028-03-01
"49",49,"C_999",1852008.16610043,4158182.53536592,747465.238134625,4112074.453536,1150651.00979573,4859539.69167062,276546.794717933,61881.2713168307,2028-04-01
"50",50,"C_999",1861022.90949636,4178422.69911674,751103.562977081,4132090.18386704,1156251.86176898,4883193.74684412,277892.900224906,62182.4815340131,2028-05-01
"51",51,"C_999",1870081.53261159,4198761.38288807,754759.597549682,4152203.34177757,1161879.97617241,4906962.93932725,279245.5579685,62485.1579071584,2028-06-01
"52",52,"C_999",1879184.24903289,4219199.06623108,758433.428055433,4172414.40150126,1167535.48570729,4930847.82955669,280604.79984206,62789.307572855,2028-07-01
"53",53,"C_999",1888331.27338666,4239736.23103121,762125.141116939,4192723.83958013,1173218.5237208,4954848.98069707,281970.657894169,63094.9377024287,2028-08-01
"54",54,"C_999",1897522.82134398,4260373.36151947,765834.823778445,4213132.1348758,1178929.22420921,4978966.95865425,283343.164329412,63402.0555021125,2028-09-01
"55",55,"C_999",1906759.10962577,4281110.94428391,769562.563507887,4233639.76858078,1184667.72182101,5003202.33208867,284722.351509129,63710.6682132157,2028-10-01
"56",56,"C_999",1916040.3560078,4301949.46828106,773308.448198957,4254247.2242298,1190434.1518601,5027555.67242876,286108.251952183,64020.7831122953,2028-11-01
